smCenterCompoundID	smCenterSampleID	smLincsID	previousSmLincsID
BRD-A17658676	BRD-A17658676-001-02-2	LSM-43067	LSM-4347
BRD-A19248578	BRD-A19248578-001-02-9	LSM-43068	LSM-4352
BRD-A19248578	BRD-A19248578-001-03-7	LSM-43068	LSM-4352
BRD-A40787240	BRD-A40787240-066-02-0	LSM-43069	LSM-4428
BRD-A41114263	BRD-A41114263-001-01-7	LSM-43070	LSM-4429
BRD-A43409498	BRD-A43409498-001-02-4	LSM-43071	LSM-4437
BRD-A57300602	BRD-A57300602-001-01-3	LSM-43072	LSM-4450
BRD-A62809825	BRD-A62809825-001-01-7	LSM-43073	LSM-4454
BRD-A66395008	BRD-A66395008-001-03-8	LSM-43074	LSM-4458
BRD-A77216878	BRD-A77216878-001-01-4	LSM-43075	LSM-4477
BRD-A81530502	BRD-A81530502-001-01-6	LSM-43076	LSM-4483
BRD-A95820578	BRD-A95820578-001-01-4	LSM-43077	LSM-4499
BRD-A98888159	BRD-A98888159-001-01-5	LSM-43078	LSM-4504
BRD-K01192156	BRD-K01192156-001-03-5	LSM-43079	LSM-4509
BRD-K01192156	BRD-K01192156-001-02-7	LSM-43079	LSM-4509
BRD-K03600170	BRD-K03600170-001-01-1	LSM-43080	LSM-4514
BRD-K03600170	BRD-K03600170-001-08-6	LSM-43080	LSM-4514
BRD-K61033289	BRD-K61033289-001-01-2	LSM-43082	LSM-4516
BRD-K05396879	BRD-K05396879-001-06-7	LSM-43081	LSM-4516
BRD-K05396879	BRD-K05396879-001-05-9	LSM-43081	LSM-4516
BRD-K05396879	BRD-K05396879-001-02-6	LSM-43081	LSM-4516
BRD-K07572174	BRD-K07572174-001-19-6	LSM-43083	LSM-4521
BRD-K09854848	BRD-K09854848-001-01-0	LSM-43084	LSM-4526
BRD-K09997269	BRD-K09997269-001-01-7	LSM-43085	LSM-4528
BRD-K13872703	BRD-K13872703-304-01-8	LSM-43086	LSM-4542
BRD-K16798053	BRD-K16798053-001-01-0	LSM-43087	LSM-4556
BRD-K27316855	BRD-K27316855-001-10-9	LSM-43088	LSM-4573
BRD-K27316855	BRD-K27316855-001-09-1	LSM-43088	LSM-4573
BRD-K27316855	BRD-K27316855-001-02-6	LSM-43088	LSM-4573
