smCenterCompoundID	smCenterSampleID	smLincsID	previousSmLincsID	expunge
BRD-K54759182	BRD-K54759182-003-02-3	LSM-42985	LSM-3221	0
BRD-K56429665	BRD-K56429665-001-03-9	LSM-42986	LSM-3254	0
BRD-K62736196	BRD-K62736196-015-03-7	LSM-42988	LSM-3266	0
BRD-K56800335	BRD-K56800335-015-03-1	LSM-42987	LSM-3266	0
BRD-K57179821	BRD-K57179821-001-08-9	LSM-42989	LSM-3274	0
BRD-K59058766	BRD-K59058766-003-15-1	LSM-42990	LSM-3310	0
BRD-K59522102	BRD-K59522102-001-08-8	LSM-42991	LSM-3322	1
BRD-K62412498	BRD-K62412498-001-05-5	LSM-42993	LSM-3386	1
BRD-K63089472	BRD-K63089472-001-02-7	LSM-42994	LSM-3398	1
BRD-K63504947	BRD-K63504947-001-05-5	LSM-42995	LSM-3412	1
BRD-K63550534	BRD-K63550534-001-04-0	LSM-42996	LSM-3417	1
BRD-K63913457	BRD-K63913457-001-02-7	LSM-42997	LSM-3427	1
BRD-K64044582	BRD-K64044582-001-02-8	LSM-42998	LSM-3431	1
BRD-K64881093	BRD-K64881093-001-02-5	LSM-43000	LSM-3450	1
BRD-K65955264	BRD-K65955264-005-03-8	LSM-43001	LSM-3469	1
BRD-K66019333	BRD-K66019333-096-01-2	LSM-43002	LSM-3470	1
BRD-K66296774	BRD-K66296774-001-02-0	LSM-43003	LSM-3475	1
BRD-K68202742	BRD-K68202742-001-07-4	LSM-43005	LSM-3524	1
BRD-K68594214	BRD-K68594214-001-01-6	LSM-43007	LSM-3537	1
BRD-K69023402	BRD-K69023402-001-02-5	LSM-43008	LSM-3545	1
BRD-K69608737	BRD-K69608737-001-03-7	LSM-43009	LSM-3557	1
BRD-K70487031	BRD-K70487031-001-01-0	LSM-43011	LSM-3573	1
BRD-K71059170	BRD-K71059170-001-02-5	LSM-43013	LSM-3590	1
BRD-K72864428	BRD-K72864428-001-02-7	LSM-43017	LSM-3632	1
BRD-K74141488	BRD-K74141488-003-03-9	LSM-43018	LSM-3661	0
BRD-K76293260	BRD-K76293260-001-02-6	LSM-43020	LSM-3704	1
BRD-K76772814	BRD-K76772814-001-01-2	LSM-43021	LSM-3717	1
BRD-K76896292	BRD-K76896292-001-04-4	LSM-43022	LSM-3724	1
BRD-K78280988	BRD-K78280988-001-02-2	LSM-43024	LSM-3761	1
BRD-K78599730	BRD-K78599730-001-02-6	LSM-43025	LSM-3768	1
BRD-K78599730	BRD-K78599730-001-03-4	LSM-43025	LSM-3768	1
BRD-K79092138	BRD-K79092138-001-06-0	LSM-43026	LSM-3779	0
BRD-K79554012	BRD-K79554012-001-01-1	LSM-43027	LSM-3795	1
BRD-K80325895	BRD-K80325895-001-02-3	LSM-43028	LSM-3806	1
BRD-K81272440	BRD-K81272440-236-06-9	LSM-43029	LSM-3823	0
BRD-K82688027	BRD-K82688027-001-01-5	LSM-43030	LSM-3856	1
BRD-K82865713	BRD-K82865713-001-02-6	LSM-43031	LSM-3864	1
BRD-K82941592	BRD-K82941592-238-02-9	LSM-43032	LSM-3865	1
BRD-K84987553	BRD-K84987553-001-01-1	LSM-43034	LSM-3902	1
BRD-K85013741	BRD-K85013741-001-05-9	LSM-43035	LSM-3904	1
BRD-K87905482	BRD-K87905482-001-02-4	LSM-43037	LSM-3957	1
BRD-K89930444	BRD-K89930444-001-01-9	LSM-43039	LSM-4016	1
BRD-K92428153	BRD-K92428153-001-01-0	LSM-43041	LSM-4071	1
BRD-K94304934	BRD-K94304934-001-04-1	LSM-43042	LSM-4118	1
BRD-K95309561	BRD-K95309561-001-15-5	LSM-43043	LSM-4142	0
BRD-K95655893	BRD-K95655893-001-01-0	LSM-43044	LSM-4149	1
BRD-K96144918	BRD-K96144918-001-02-3	LSM-43045	LSM-4168	1
BRD-K96271548	BRD-K96271548-001-02-2	LSM-43046	LSM-4173	1
BRD-K96402602	BRD-K96402602-001-01-8	LSM-43047	LSM-4178	1
BRD-K97309399	BRD-K97309399-001-05-2	LSM-43048	LSM-4196	1
BRD-K98173387	BRD-K98173387-001-01-4	LSM-43049	LSM-4216	1
BRD-K98548675	BRD-K98548675-001-02-6	LSM-43050	LSM-4225	1
BRD-K99135512	BRD-K99135512-001-02-8	LSM-43051	LSM-4233	1
BRD-K99530743	BRD-K99530743-001-01-3	LSM-43052	LSM-4240	1
BRD-M45964048	BRD-M45964048-001-02-7	LSM-43053	LSM-4252	1
HMSL10091	HMSL10091-101-1	LSM-43287	LSM-6299	1
HMSL10108	HMSL10108-101-2	LSM-42789	LSM-1108	1
HMSL10108	HMSL10108-101-1	LSM-42789	LSM-1108	1
HMSL10104	HMSL10104-101-1	LSM-42788	LSM-1104	1
HMSL10095	HMSL10095-101-1	LSM-43288	LSM-6300	1
BRD-K76908866	BRD-K76908866-001-02-7	LSM-42777	LSM-1010	1
BRD-K76908866	BRD-K76908866-001-03-5	LSM-42777	LSM-1010	1
BRD-K76908866	BRD-K76908866-001-01-9	LSM-42777	LSM-1010	1
BRD-K85606544	BRD-K85606544-001-01-8	LSM-42778	LSM-1018	1
BRD-K85606544	BRD-K85606544-001-04-2	LSM-42778	LSM-1018	1
BRD-K04923131	BRD-K04923131-001-06-3	LSM-42780	LSM-1031	1
BRD-K04923131	BRD-K04923131-001-11-3	LSM-42780	LSM-1031	1
BRD-K04923131	BRD-K04923131-001-10-5	LSM-42780	LSM-1031	1
BRD-K41895714	BRD-K41895714-001-02-2	LSM-42784	LSM-1054	1
BRD-K41895714	BRD-K41895714-001-03-0	LSM-42784	LSM-1054	1
BRD-K78373679	BRD-K78373679-001-01-1	LSM-42788	LSM-1104	1
BRD-K11528507	BRD-K11528507-001-05-9	LSM-42789	LSM-1108	1
BRD-K02965346	BRD-K02965346-001-01-8	LSM-42792	LSM-1119	1
BRD-A58767537	BRD-A58767537-001-01-2	LSM-42794	LSM-1133	1
BRD-K49075727	BRD-K49075727-001-03-6	LSM-42795	LSM-1152	0
BRD-K08799216	BRD-K08799216-001-01-2	LSM-42796	LSM-1160	0
BRD-K06750613	BRD-K06750613-001-01-6	LSM-42798	LSM-1173	0
BRD-M64432851	BRD-M64432851-001-01-9	LSM-42800	LSM-1176	1
BRD-K67578145	BRD-K67578145-001-01-4	LSM-42801	LSM-1182	0
BRD-K67578145	BRD-K67578145-001-04-8	LSM-42801	LSM-1182	0
BRD-K70511574	BRD-K70511574-001-02-8	LSM-42802	LSM-1192	0
BRD-K70511574	BRD-K70511574-001-01-0	LSM-42802	LSM-1192	0
BRD-K91701654	BRD-K91701654-001-01-5	LSM-42807	LSM-1220	0
BRD-A31107743	BRD-A31107743-001-01-3	LSM-42812	LSM-1349	0
BRD-K28178212	BRD-K28178212-003-01-5	LSM-42847	LSM-2066	0
BRD-K76723084	BRD-K76723084-001-18-2	LSM-42855	LSM-2135	0
BRD-K76723084	BRD-K76723084-001-19-0	LSM-42855	LSM-2135	0
BRD-K76723084	BRD-K76723084-001-15-8	LSM-42855	LSM-2135	0
