SM_LINCS_ID	SM_PubChemCID	SM_PubChem_SID
LSM-2586	4830	177748801
LSM-2591	10109069	85787163
LSM-2592	3921152	85788670
LSM-2598	91668	85787546
LSM-2600	149784	85787765
LSM-2602	83873	85788537
LSM-2606	5330535	177748381
LSM-2609	14987	85789344
LSM-2611	1403142	85788521
LSM-2613	65889	85789087
LSM-2614	71333	177748520
LSM-2616	1744	85789026
LSM-2629	933171	85788071
LSM-2630	107704	85788332
LSM-2631	12454	85788984
LSM-2631	12454	177749216
LSM-2633	6603897	85788368
LSM-2634	9795278	85788698
LSM-2648	2220	85788019
LSM-2649	574780	85788119
LSM-2650	5281051	85787244
LSM-2653	5493444	177748803
LSM-2654	24906266	177748481
LSM-2656	242589	85789532
LSM-2662	41781	85788916
LSM-2672	196841	85788150
LSM-2673	2419	85788125
LSM-2674	443375	85787650
LSM-2675	438981	177748372
LSM-2675	438981	85788168
LSM-2681	4272	85788660
LSM-2684	6610255	85787689
LSM-2685	5311412	85788089
LSM-2686	16759155	85789063
LSM-2687	9604993	85788169
LSM-2688	443278	85787140
LSM-2690	2777391	85788697
LSM-2692	5312114	177748548
LSM-2693	6291	85787338
LSM-2694	4383	85788659
LSM-2701	6711154	85787660
LSM-2702	5351542	85788556
LSM-2704	656765	85789028
LSM-2706	629852	85787681
LSM-2709	156314	85787317
LSM-2712	65747	85788078
LSM-2715	197810	85787921
LSM-2718	2389	85787158
LSM-2724	5377914	85787080
LSM-2726	5360696	85788569
LSM-2729	230748	85788689
LSM-2730	860	85787693
LSM-2731	54385	85788903
LSM-2732	7333	85788117
LSM-2736	2180477	177749120
LSM-2738	447905	85788706
LSM-2739	4029677	177748521
LSM-2740	4355450	85787580
LSM-2741	121926	177748540
LSM-2743	123956	85788554
LSM-2743	123956	85788993
LSM-2744	3080371	85788545
LSM-2746	447713	85788208
LSM-2751	91270	85789110
LSM-2755	2055	85788606
LSM-2755	2055	85787169
LSM-2757	16094766	85789108
LSM-2760	3476	85787655
LSM-2760	3476	85787837
LSM-2761	5383	85789620
LSM-2768	13109	85787473
LSM-2774	5311452	85788661
LSM-2777	4238	85787945
LSM-2779	8969	85787958
LSM-2780	122077	85787643
LSM-2781	439501	85788049
LSM-2788	439530	85787501
LSM-2789	3906780	85789048
LSM-2795	9830392	177748578
LSM-2796	16759160	85789068
LSM-2799	334704	85787978
LSM-2800	5163	85789041
LSM-2803	3158	85787476
LSM-2803	3158	85787555
LSM-2804	1042895	85787405
LSM-2805	641266	85788402
LSM-2807	2064	85787168
LSM-2810	188914	85789010
LSM-2827	365287	177748631
LSM-2827	365287	85788218
LSM-2830	3646	85787867
LSM-2834	393595	85788645
LSM-2835	3611	85788969
LSM-2837	2984	85787208
LSM-2838	43507	85787533
LSM-2839	11507802	177748562
LSM-2840	5124753	85788315
LSM-2844	5282493	85788074
LSM-2853	10196	85787486
LSM-2854	44483329	85788991
LSM-2858	10621	85788047
LSM-2863	6603797	85788557
LSM-2864	9782	85788058
LSM-2868	3242	85788041
LSM-2870	15032	85787452
LSM-2874	126688	85788610
LSM-2875	9961192	85788205
LSM-2882	3144	85787686
LSM-2891	71203	85787855
LSM-2897	154417	85788416
LSM-2899	9884817	85787634
LSM-2901	4364841	85788678
LSM-2905	5014	177748591
LSM-2907	15376	85789347
LSM-2908	2293	85788269
LSM-2911	16759997	85787810
LSM-2912	1794	85788510
LSM-2916	6603827	85787645
LSM-2917	162834	85788195
LSM-2922	104845	85788083
LSM-2923	448991	85789036
LSM-2924	6604926	85789055
LSM-2927	134527	85788732
LSM-2938	10191	85787913
LSM-2944	11644425	85787679
LSM-2946	657255	85788066
LSM-2947	6918184	85788684
LSM-2949	656732	85789058
LSM-2953	680501	177748553
LSM-2958	72430	85788543
LSM-2960	5312145	85787460
LSM-2961	10223146	85787654
LSM-2963	164723	85788513
LSM-2965	222786	85788975
LSM-2966	5376	85789012
LSM-2969	60860	85788868
LSM-2971	124334	177748531
LSM-2985	4289	85788506
LSM-2992	121878	85789062
LSM-2999	6604780	85789008
LSM-3001	3054	177749345
LSM-3013	5491	85789035
LSM-3016	5036604	85789519
LSM-3017	6714002	85787547
LSM-3018	183782	85788123
LSM-3021	168182	85788949
LSM-3024	770820	85787633
LSM-3025	5280567	85787387
LSM-3027	10668061	85787661
LSM-3029	656615	85787952
LSM-3031	4513	85787334
LSM-3034	131906	177748534
LSM-3035	4174	85787390
LSM-3040	11317348	85788711
LSM-3041	3209	85787440
LSM-3042	41987	85788983
LSM-3044	6710772	85788517
LSM-3049	236702	85787852
LSM-3050	3354	85788471
LSM-3051	10131112	85787653
LSM-3052	673465	85788397
LSM-3054	3272524	85788629
LSM-3058	4579	85788547
LSM-3058	4579	85788998
LSM-3059	11716890	177748561
LSM-3062	5734	85788213
LSM-3063	6604779	85789007
LSM-3065	24906259	177748377
LSM-3069	4707	177748577
LSM-3071	161930	85787617
LSM-3073	28417	85787851
LSM-3075	5311479	85789060
LSM-3076	2690	85788676
LSM-3077	105078	85787461
LSM-3080	11207937	85789092
LSM-3083	17756796	85788197
LSM-3085	2399	85788013
LSM-3086	46925874	177749123
LSM-3087	9989505	85788699
LSM-3089	82153	85787477
LSM-3096	1737777	87556788
LSM-3097	3086670	85788700
LSM-3098	119376	85788140
LSM-3100	133076	85788124
LSM-3103	1720	85788267
LSM-3105	25044204	85787237
LSM-3106	24868317	85787674
LSM-3111	6610268	85787259
LSM-3112	1474853	85787188
LSM-3118	456214	177748527
LSM-3119	6753378	85788713
LSM-3124	16760391	85845675
LSM-3125	667511	177748799
LSM-3126	3001028	85787535
LSM-3130	2065	85788234
LSM-3130	2065	177748571
LSM-3132	130325	85787641
LSM-3135	5516	177749279
LSM-3138	33572	85788060
LSM-3139	5276	85787136
LSM-3140	6604887	85788156
LSM-3141	4345	85787441
LSM-3146	24733	85788583
LSM-3149	4625	177748348
LSM-3151	3035746	85788114
LSM-3155	62824	85787632
LSM-3159	73333	85787819
LSM-3161	149351	177749185
LSM-3162	4336830	85787597
LSM-3167	129348	85787444
LSM-3169	23863723	85787430
LSM-3170	32681	85789351
LSM-3174	6093	85788826
LSM-3176	12478	177748781
LSM-3177	3751173	85787274
LSM-3178	443955	85788473
LSM-3184	3721046	85787585
LSM-3194	155806	85787557
LSM-3195	4331799	177748538
LSM-3197	6604909	85787628
LSM-3198	134141	85787210
LSM-3203	11382492	85789070
LSM-3206	4552	85788241
LSM-3207	11524144	85788231
LSM-3210	54677407	85788948
LSM-3218	9903757	85789099
LSM-3219	9954280	85789067
LSM-3220	6710740	85789711
LSM-3221	3155	85788063
LSM-3222	10140	85787509
LSM-3224	5474706	85787481
LSM-3226	3372	85789341
LSM-3231	2457	85787564
LSM-3233	6604933	85788690
LSM-3234	9885087	85787162
LSM-3240	6918409	177748563
LSM-3243	108137	85789043
LSM-3251	3410883	85788634
LSM-3253	11688990	177748574
LSM-3254	57118766	177749379
LSM-3254	57118766	85787678
LSM-3258	122272	177748524
LSM-3259	247839	85788382
LSM-3260	2132	85788059
LSM-3266	3517	85787575
LSM-3274	2883	177749195
LSM-3278	126402	85788102
LSM-3279	46829332	177749114
LSM-3283	5281804	85789731
LSM-3290	24768606	177749095
LSM-3293	824226	85788196
LSM-3304	442972	85788286
LSM-3310	2729	177749223
LSM-3312	5311047	85788062
LSM-3315	4938	85788518
LSM-3316	4099413	85788667
LSM-3317	3932	85788683
LSM-3318	4302962	85788638
LSM-3320	6809654	85789457
LSM-3325	441074	85788831
LSM-3327	275510	85787150
LSM-3328	9819432	85789093
LSM-3330	446916	85787791
LSM-3336	5392245	85787506
LSM-3339	168868	85788129
LSM-3340	122623	85787447
LSM-3344	44483227	85787167
LSM-3345	4668801	85789050
LSM-3346	5712	85787257
LSM-3347	54687	85789083
LSM-3349	441336	85787956
LSM-3354	6280	85788256
LSM-3355	10452020	85788369
LSM-3360	176157	85788155
LSM-3363	2275371	87556790
LSM-3369	16490	85788044
LSM-3373	5329468	85787218
LSM-3381	10330240	85787665
LSM-3382	9874838	85789101
LSM-3383	62034	85789066
LSM-3384	444036	85788586
LSM-3385	644030	85787648
LSM-3389	1261254	177749112
LSM-3391	439654	85788052
LSM-3393	3976	85787780
LSM-3397	3926	85788057
LSM-3398	3328	85787688
