SM_LINCS_ID	SM_CENTER_COMPOUND_ID	IDsort
LSM-1455	BRD-A31801025	1455
LSM-1456	BRD-A31946439	1456
LSM-1457	BRD-A32164164	1457
LSM-1458	BRD-A32349859	1458
LSM-1459	BRD-A32449311	1459
LSM-1460	BRD-A07407288	1460
LSM-1460	BRD-A32595718	1460
LSM-1461	BRD-A32836748	1461
LSM-1462	BRD-A32917072	1462
LSM-1463	BRD-A32949107	1463
LSM-1464	BRD-A33084410	1464
LSM-1465	BRD-A33168282	1465
LSM-1466	BRD-A33447119	1466
LSM-1467	BRD-A33711280	1467
LSM-1468	BRD-A33833419	1468
LSM-1469	BRD-A34205397	1469
LSM-1470	BRD-A34208323	1470
LSM-1471	BRD-A34255068	1471
LSM-1472	BRD-A34299591	1472
LSM-1473	BRD-A34421300	1473
LSM-1474	BRD-A34706053	1474
LSM-1475	BRD-A34751532	1475
LSM-1476	BRD-A34806832	1476
LSM-1477	BRD-A34907681	1477
LSM-1478	BRD-A35020550	1478
LSM-1479	BRD-A35033682	1479
LSM-1480	BRD-A35141262	1480
LSM-1481	BRD-A35338386	1481
LSM-1482	BRD-A35511923	1482
LSM-1483	BRD-A35588707	1483
LSM-1484	BRD-A35623999	1484
LSM-1485	BRD-A35912562	1485
LSM-1486	BRD-A35989968	1486
LSM-1487	BRD-A36010170	1487
LSM-1488	BRD-A36066264	1488
LSM-1489	BRD-A36074203	1489
LSM-1490	BRD-A36151937	1490
LSM-1491	BRD-A36217750	1491
LSM-1492	BRD-A36267905	1492
LSM-1493	BRD-A36275421	1493
LSM-1494	BRD-A36318220	1494
LSM-1495	BRD-A36471396	1495
LSM-1496	BRD-A37347161	1496
LSM-1497	BRD-A37432947	1497
LSM-1498	BRD-A37492983	1498
LSM-1499	BRD-A37541666	1499
LSM-1500	BRD-A37656721	1500
LSM-1501	BRD-A37735495	1501
LSM-1502	BRD-A37776212	1502
LSM-1503	BRD-A37780065	1503
LSM-1504	BRD-A37817666	1504
LSM-1505	BRD-A37867643	1505
LSM-1506	BRD-A37959677	1506
LSM-1507	BRD-A38030642	1507
LSM-1508	BRD-A38425832	1508
LSM-1509	BRD-A38747044	1509
LSM-1510	BRD-A38749782	1510
LSM-1511	BRD-A38793261	1511
LSM-1512	BRD-A38898897	1512
LSM-1513	BRD-A38913120	1513
LSM-1514	BRD-A38936397	1514
LSM-1515	BRD-A39093044	1515
LSM-1516	BRD-A39230911	1516
LSM-1517	BRD-A39255369	1517
LSM-1518	BRD-A39268308	1518
LSM-1519	BRD-A39290993	1519
LSM-1520	BRD-A39415247	1520
LSM-1521	BRD-A39522003	1521
LSM-1522	BRD-A39599596	1522
LSM-1523	BRD-A39747742	1523
LSM-1524	BRD-A39969961	1524
LSM-1525	BRD-A40560522	1525
LSM-1526	BRD-A40639672	1526
LSM-1527	BRD-A41112154	1527
LSM-1528	BRD-A41145729	1528
LSM-1529	BRD-A41250306	1529
LSM-1530	BRD-A41301928	1530
LSM-1531	BRD-A41304429	1531
LSM-1532	BRD-A41451487	1532
LSM-1533	BRD-A41519720	1533
LSM-1534	BRD-A41555725	1534
LSM-1535	BRD-A41630653	1535
LSM-1536	BRD-A41722204	1536
LSM-1537	BRD-A41833852	1537
LSM-1538	BRD-A41941932	1538
LSM-1539	BRD-A41995253	1539
LSM-1540	BRD-A42031983	1540
LSM-1541	BRD-A42167015	1541
LSM-1542	BRD-A42346008	1542
LSM-1543	BRD-A42553870	1543
LSM-1544	BRD-A42571354	1544
LSM-1545	BRD-A42628519	1545
LSM-1545	CGC00000773	1545
LSM-1546	BRD-A42649439	1546
LSM-1547	BRD-A42737819	1547
LSM-1548	BRD-A42759514	1548
LSM-1549	BRD-A42831637	1549
LSM-1550	BRD-A42969626	1550
LSM-1551	BRD-A43126523	1551
LSM-1552	BRD-A43150328	1552
LSM-1553	BRD-A43640821	1553
LSM-1554	BRD-A43671941	1554
LSM-1555	BRD-A43805296	1555
LSM-1556	BRD-A43849199	1556
LSM-1557	BRD-A20549626	1557
LSM-1557	BRD-A22897758	1557
LSM-1557	BRD-A58207013	1557
LSM-1557	BRD-A43882281	1557
LSM-1558	BRD-A43885598	1558
LSM-1559	BRD-A43930669	1559
LSM-1560	BRD-A43940795	1560
LSM-1561	BRD-A43974499	1561
LSM-1562	BRD-A43974575	1562
LSM-1563	BRD-A44008656	1563
LSM-1564	BRD-A44090213	1564
LSM-1565	BRD-A44133049	1565
LSM-1566	BRD-A44448661	1566
LSM-1567	BRD-A44551378	1567
LSM-1568	BRD-A44701612	1568
LSM-1569	BRD-A44780397	1569
LSM-1570	BRD-A44862234	1570
LSM-1571	BRD-A45140972	1571
LSM-1572	BRD-A45206415	1572
LSM-1573	BRD-A45333398	1573
LSM-1574	BRD-A45499626	1574
LSM-1575	BRD-A45543382	1575
LSM-1576	BRD-A45657137	1576
LSM-1577	BRD-A45889380	1577
LSM-1578	BRD-A46186775	1578
LSM-1579	BRD-A46393198	1579
LSM-1580	BRD-A46747628	1580
LSM-1581	BRD-A47065382	1581
LSM-1582	BRD-A47144777	1582
LSM-1583	BRD-A47494775	1583
LSM-1584	BRD-A47513740	1584
LSM-1585	BRD-A47598013	1585
LSM-1586	BRD-A47633927	1586
LSM-1587	BRD-A47714657	1587
LSM-1588	BRD-A47816767	1588
LSM-1589	BRD-A48052484	1589
LSM-1590	BRD-A48237631	1590
LSM-1591	BRD-A48257147	1591
LSM-1592	BRD-A48430263	1592
LSM-1593	BRD-A48570745	1593
LSM-1594	BRD-A48720949	1594
LSM-1595	BRD-A48809242	1595
LSM-1596	BRD-A49046702	1596
LSM-1597	BRD-A49148672	1597
LSM-1598	BRD-A49160188	1598
LSM-1599	BRD-A49225603	1599
LSM-1599	CGC00000566	1599
LSM-1600	BRD-A49358627	1600
LSM-1601	BRD-A49370193	1601
LSM-1602	BRD-A49447682	1602
LSM-1603	BRD-A49680073	1603
LSM-1604	BRD-A49734948	1604
LSM-1605	BRD-A49765801	1605
LSM-1606	BRD-A49906757	1606
LSM-1607	BRD-A50311610	1607
